Cód Suc;Desc;Precio;Costo;Ganancia_$;Margen_%
853;PATEGRAS SAB. ALBAHACA;26599,99;17147,17;9452,82;35,54
860;TABLA IBERICA GRANDE;85999,99;30400;55599,99;64,65
864;FERNET BRANCA X 750 ML;15699,99;12050,237;3649,753;23,25
874;PATEGRAS SAB. OREGANO;26599,99;17147,17;9452,82;35,54
878;BAT. C/CHOCO SACHET ESNAOLA;2399,99;1496,362;903,628;37,65
879;BATATA SACHET ESNAOLA X 500 GR;2299,99;1472,418;827,572;35,98
886;CREMOSO OFERTA;6299,99;5036,229;1263,761;20,06
890;MEMB.SACHET ESNAOLA;2599,99;1740,268;859,722;33,07
895;PAPAS KRACH S/SAL X 55 GRS;1399,99;944,159;455,831;32,56
917;JAM.NAT EST SAN FRANC X 1/4;21599,96;14177,152;7422,808;34,36
919;BARRA TYBO;16999,9;9769,292;7230,608;42,53
920;PROMOCION 10;5499,99;3606,833;1893,157;34,42
921;PROMOCION 11;6099,99;4098,014;2001,976;32,82
934;TAPA PASC SIN TACC ORALI;3199,99;1826,16;1373,83;42,93
952;REGGIANITO SAN FRANCISCO;25999,99;15615,785;10384,205;39,94
955;MERM ARAND LOS CAROLINOS;3699,99;2473,737;1226,253;33,14
966;TABLA EUCALIPTO GARRAFITA;21999,99;16746,082;5253,908;23,88
982;VINO STA JULIA CHENIN DULCE;6199,99;4725,833;1474,157;23,78
989;PROMOCION 6;7299,99;4845,358;2454,632;33,63
990;PROMOCION 7;5699,99;3911,766;1788,224;31,37
1025;MEDIALUNAS X 3 U ARTESANALES;1799,99;1210,378;589,612;32,76
1031;QUESO CREMA DESC FESTA;2999,99;2115,477;884,513;29,48
1048;TAPA EMP MIX DE SEMILLAS;2399,99;1607,3;792,69;33,03
1063;PROMO 22;7899,99;5315,78;2584,21;32,71
1067;QUESO CREMA FESTA;2999,99;2112,66;887,33;29,58
1069;AJO PICADO EN AC DE GIRASOL PI;4399,99;2763,782;1636,208;37,19
